id,url,categories,title,organization,date,description
study-11,https://ai.wharton.upenn.edu/wp-content/uploads/2024/11/AI-Report_Full-Report.pdf,Workforce Trends,Growing Up: Navigating GenAI’s Early Years,"AI at Wharton, University of Pennsylvania",2024-10,Explores company adoption of GenAI and how that is evolving since the early days of ChatGPT. Emerging trends include 1) shifting from exploring GenAI to determining is ROI 2) Hiring professionals to lead GenAI work in house 3) greater acceptance of GenAI to do work 4) businesses expect to continue to increase their investments in AI over the next 5 years 5) Microsoft and Google are the perceived leaders.
study-12,https://cengage.widen.net/s/bmjxxjx9mm/cg-2024-employability-survey-report,Workforce Trends,Cengage Group Graduate Employability Report,Cengage Group,2024-07,"Recent graduates feel unprepared to enter an AI-enhanced workforce, desire for AI literacy training, businesses expect AI literate employees."
study-13,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,Workforce Trends,The State of AI in Early 2024: GenAI Adoption Spikes and Starts to Generate Value,McKinsey & Company,2024-05,"AI adoption increased dramatically from 2023-2024 all over the world. Adoption reflects a jagged profile, with marketing, sales, and IT job functions reporting the highest use of GenAI. Application of GenAI in HR and supply change management have resulted in some of the greatest reductions in business costs. Businesses highlight hallucinations as the greatest risk associated with GenAI adoption."
study-14,https://www.nationsreportcard.gov/,Student Performance Data,The Nation's Report Card,National Assessment of Educational Progress,2025-01,Most recent reading and math performance in the US shows math gains in grade 4 and reading declines across the board.
study-15,https://www.sciencedirect.com/science/article/pii/S0360131524002380?via%3Dihub,Student Performance Data,Does ChatGPT Enhance Student Learning? A Systematic Review and Meta-analysis of Experimental Studies,Computers and Education,2025-04,"Study reveals that GenAI enhances both student learning and motivation, reduces mental effort, and does not influence self-efficacy. A few caveats to consider when interpreting these results."
study-16,https://www.sciencedirect.com/science/article/pii/S2666920X24000560,Student Performance Data,Cheating in the age of generative AI: A high school survey study of cheating behaviors before and after the release of ChatGPT,Stanford University,2024-12,"Updated from their original survey, which released data in 2023, this study shares that while the way in which students are cheating has evolved with GenAI, the percentage of those who do, has not changed in decades."
study-17,https://www.oecd.org/en/publications/pisa-2022-results-volume-i_53f23881-en.html,Student Performance Data,PISA 2022 Results (Volume I) The State of Learning and Equity in Education,Organization for Economic Cooperation and Development (OECD),2023-12,"Report on student performance results on the PISA. With some exceptions, the report shows general declines in performance in math, reading, and science. Drops in reading performance were equivalent to the loss of half a school year of learning. Drops were reflective of three quarters of a year of learning in mathematics. The study also examines metrics of equity and fairness and found 31% of discrepancies in how students perform are the result of differences within the education system in which students learn."
study-18,https://scale.stanford.edu/genai/repository,"Current State of Guidelines, Training, and Policies",Repository - Generative AI in Education Hub,Stanford University,2025-01,"A repository of studies about GenAI in K12 education divided into three categories: 1) those that describe how GenAI is being used in schools, 2) those that reflect the impact of GenAI, and 3) studies that review and find trends across studies."
study-19,https://www.gov.uk/government/publications/generative-ai-product-safety-expectations/generative-ai-product-safety-expectations,"Current State of Guidelines, Training, and Policies",Generative AI: Product Safety Expectations,"Department of Education, UK",2025-01,Sets a standard for edtech developers and outlines key requirements for products being developed for use in schools.
study-20,https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-takes-action-to-enhance-americas-ai-leadership/,"Current State of Guidelines, Training, and Policies",Fact Sheet: President Donald J. Trump Takes Action to Enhance America’s AI Leadership,USA Federal Government,2025-01,Updated information on current state of AI regulation from the new administration.
study-21,https://osf.io/preprints/psyarxiv/t9u8g_v1,"Current State of Guidelines, Training, and Policies",Lower Artificial Intelligence Literacy Predicts Greater AI Receptivity,University of Southern California,2024-12,"Examines the relationship between the AI literacy levels of users and the likelihood they will use AI. Findings show that those with lower levels of AI literacy are more likely to be awed by AI and thus, may be more receptive to its use."
study-22,https://www.edweek.org/technology/were-at-a-disadvantage-and-other-teacher-sentiments-on-ai/2024/10?fbclid=IwZXh0bgNhZW0CMTAAAR1Rt9hwALBf3DUzSbjYDIVs1L-SmAc3YuyU28fkNytlTLNjpnfuoDo7Nbo_aem_D3BmmEbqThEuZtruHdaMTg,"Current State of Guidelines, Training, and Policies","We're at a Disadvantage,' and Other Teacher Sentiments on AI",EdWeek,2024-10,"58% of teachers still have had NO AI training. The number of teachers that have received training has increased by 14% since spring 2024, but there has been no increase in GenAI usage. The majority of teachers that have received training have only had one session. Teachers said their top barriers to using GenAI were: Lack of knowledge/ training, competing priorities by their school/district, and lack of school policy/guidance for responsible use."
study-23,https://www.aiforeducation.io/s/Empowering-Education-Leaders-A-Toolkit-for-Safe-Ethical-and-Equitable-AI-Integration.pdf,"Current State of Guidelines, Training, and Policies","Empowering Education Leaders: A Toolkit for Safe, Ethical, and Equitable AI Integration",U.S. Office of Education Technology,2024-10,Guidance for education leaders on how to build AI literacy and implementation capacity and guide that work as an educational leader.
study-24,https://www.commonsensemedia.org/sites/default/files/research/report/generative-ai-in-k-12-education-white-paper-updated-aug-2024-final-2.pdf,"Current State of Guidelines, Training, and Policies",Generative AI in K–12 Education White Paper,Common Sense Media,2024-08,"Study reveals the following about the current state of AI in Education: Though familiarity is increasing, there is still a lack of fundamental AI literacy, Only 5% of districts have specific generative AI policies, which reflects what we have seen in the field. Students are using AI tools, often without clear guidelines. Opportunities for AI adoption include those which are: 1) Student-focused like adaptive learning, creativity enhancement, project-based learning, and collaborative support 2) Teacher-focused like lesson planning assistance, feedback on teaching, and productivity gains, 3) System-focused like data interoperability, parent engagement, and communication."
study-25,https://www.aiforeducation.io/s/EUA-Designing-for-Education-with-AI-An-Essential-Guide-for-Developers.pdf,"Current State of Guidelines, Training, and Policies",Designing for Education with Artificial Intelligence: An Essential Guide for Developers,U.S. Office of Education Technology,2024-07,"Guidance for those developing products in the education space and how to equip teams with what they need to design products that are safe, ethical, and effective for the education ecosystem."
study-26,https://www.europarl.europa.eu/news/en/press-room/20240308IPR19015/artificial-intelligence-act-meps-adopt-landmark-law,"Current State of Guidelines, Training, and Policies",Artificial Intelligence Act: MEPs Adopt Landmark Law,European Parliament,2024-03,"The EU AI Act is being implemented in the EU, but has ramifications for all those who serve EU customers around the world. Regulations include provisions like the inability of tech to store biometric data, preventing the development of algorithms that keep users online, and additional rights for users."
study-27,https://www.aiforeducation.io/s/Navigating-Artificial-Intelligence-in-Postsecondary-Education.pdf,"Current State of Guidelines, Training, and Policies",Navigating Artificial Intelligence in Postsecondary Education: Building Capacity for the Road Ahead,U.S. Office of Education Technology,2024-01,Guidance for organizations that are leveraging Task Forces (specifically HiEd) to integrate GenAI into their organizations.
study-28,https://www.aiforeducation.io/s/GOVPUB-ED-PURL-gpo229250.pdf,"Current State of Guidelines, Training, and Policies",National Educational Technology Plan,U.S. Office of Education Technology,2024-01,"Calls on all of us to be part of the solution to close three emerging digital divides: the digital use divide, the digital design divide, and the digital access divide."
study-29,https://unesdoc.unesco.org/ark:/48223/pf0000386693.locale=en,Current AI Use and Perceptions in PK 12 & HigherEd,Guidance for generative AI in education and research,UNESCO,2023,Offers guidance on a human-centered approach to the use and regulation of GenAI both for individual users and EdTech developers. Offers a framework for using GenAI in research as well.
study-30,https://www.education.gov.au/schooling/resources/australian-framework-generative-artificial-intelligence-ai-schools,Current AI Use and Perceptions in PK 12 & HigherEd,Australian Framework for Generative AI in Schools,Australia Department of Education,2023-11,"One of the earliest guidance documents to emerge after the release of ChatGPT, this document offers recommendations for how to adopt GenAI in schools in ways that benefit students, educators, and learning."
study-31,https://www.aiforeducation.io/s/ai-report.pdf,Current AI Use and Perceptions in PK 12 & HigherEd,Artificial Intelligence and the Future of Teaching and Learning,U.S. Office of Education Technology,2023-05,"Calls on implementers within the teaching and learning ecosystem to share learnings, bring educators to the table, and develop policies and guidelines to support safe and ethical use of GenAI in communities."
