id,categories,title,organization,date,key_findings,url,metadata
study-28,Current AI Use and Perceptions in PK 12 & HigherEd,"'We're at a Disadvantage,' and Other Teacher Sentiments on AI",Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.edweek.org/technology/were-at-a-disadvantage-and-other-teacher-sentiments-on-ai/2024/10?fbclid=IwZXh0bgNhZW0CMTAAAR1Rt9hwALBf3DUzSbjYDIVs1L-SmAc3YuyU28fkNytlTLNjpnfuoDo7Nbo_aem_D3BmmEbqThEuZtruHdaMTg,complexity=3|region=global|subjects=general
study-29,"Current State of Guidelines, Training, and Policies","Empowering Education Leaders: A Toolkit for Safe, Ethical, and Equitable AI Integration",Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/s/Empowering-Education-Leaders-A-Toolkit-for-Safe-Ethical-and-Equitable-AI-Integration.pdf,complexity=3|region=global|subjects=general
study-30,Current AI Use and Perceptions in PK 12 & HigherEd,Generative AI in K–12 Education White Paper,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.commonsensemedia.org/sites/default/files/research/report/generative-ai-in-k-12-education-white-paper-updated-aug-2024-final-2.pdf,complexity=3|region=global|subjects=general
study-31,Current AI Use and Perceptions in PK 12 & HigherEd,Designing for Education with Artificial Intelligence: An Essential Guide for Developers,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/s/EUA-Designing-for-Education-with-AI-An-Essential-Guide-for-Developers.pdf,complexity=3|region=global|subjects=general
study-32,Current AI Use and Perceptions in PK 12 & HigherEd,Artificial Intelligence Act: MEPs Adopt Landmark Law,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.europarl.europa.eu/news/en/press-room/20240308IPR19015/artificial-intelligence-act-meps-adopt-landmark-law,complexity=3|region=global|subjects=general
study-33,Current AI Use and Perceptions in PK 12 & HigherEd,Navigating Artificial Intelligence in Postsecondary Education: Building Capacity for the Road Ahead,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/s/Navigating-Artificial-Intelligence-in-Postsecondary-Education.pdf,complexity=3|region=global|subjects=general
study-34,Current AI Use and Perceptions in PK 12 & HigherEd,National Educational Technology Plan,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/s/GOVPUB-ED-PURL-gpo229250.pdf,complexity=3|region=global|subjects=general
study-35,Current AI Use and Perceptions in PK 12 & HigherEd,Guidance for generative AI in education and research,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://unesdoc.unesco.org/ark:/48223/pf0000386693.locale=en,complexity=3|region=global|subjects=general
study-36,"Current State of Guidelines, Training, and Policies",Australian Framework for Generative AI in Schools,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.education.gov.au/schooling/resources/australian-framework-generative-artificial-intelligence-ai-schools,complexity=3|region=global|subjects=general
study-37,Student Performance Data,Artificial Intelligence and the Future of Teaching and Learning,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/s/ai-report.pdf,complexity=3|region=global|subjects=general
study-38,Current AI Use and Perceptions in PK 12 & HigherEd,LEARN HOW,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/services,complexity=3|region=global|subjects=general
study-39,"Current State of Guidelines, Training, and Policies",training sessions,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",https://www.aiforeducation.io/services,complexity=3|region=global|subjects=general
study-40,Current AI Use and Perceptions in PK 12 & HigherEd,links to the original resource,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",#,complexity=3|region=global|subjects=general
study-41,Current AI Use and Perceptions in PK 12 & HigherEd,summary of key findings,Research Organization,2025-01,"The speed at which Generative AI (GenAI) developments are occurring is rapid and gaining momentum. We are grateful to researchers who ask essential questions, follow that curiosity through research, and allow us to filter out the hype and leverage their insights to inform our thinking as practitioners.",#,complexity=3|region=global|subjects=general
study-42,Current AI Use and Perceptions in PK 12 & HigherEd,Current AI Use and Perceptions in PK 12 & HigherEd,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",#,complexity=3|region=global|subjects=general
study-43,Current AI Use and Perceptions in PK 12 & HigherEd,"Teachers Love AI, But They Need More Guidance From Schools",Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://districtadministration.com/article/teachers-love-ai-but-they-need-more-guidance-from-schools/,complexity=3|region=global|subjects=general
study-44,Current AI Use and Perceptions in PK 12 & HigherEd,National Parents Union Survey Shows Overwhelming Support for Protecting Children Online - National Parents Union,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://nationalparentsunion.org/2024/12/10/national-parents-union-survey-shows-overwhelming-support-for-protecting-children-online-2/,complexity=3|region=global|subjects=general
study-45,Current AI Use and Perceptions in PK 12 & HigherEd,"AI Chatbots in Schools: Findings from a Poll of K-12 Teachers, Students, Parents, and College Undergraduates",Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.aiforeducation.io/s/deck-impact-analysis-national-schools-tech-tracker-may-2024-1.pdf,complexity=3|region=global|subjects=general
study-46,Current AI Use and Perceptions in PK 12 & HigherEd,Using Artificial Intelligence Tools in K-12 Classrooms,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.rand.org/pubs/research_reports/RRA956-21.html,complexity=3|region=global|subjects=general
study-47,Current AI Use and Perceptions in PK 12 & HigherEd,Generative AI and the Future of Higher Education: a Threat to Academic Integrity or Reformation? Evidence from Multicultural Perspectives,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-024-00453-6,complexity=3|region=global|subjects=general
study-48,Current AI Use and Perceptions in PK 12 & HigherEd,Pew Research Center Survey of US Teens,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.pewresearch.org/short-reads/2025/01/15/about-a-quarter-of-us-teens-have-used-chatgpt-for-schoolwork-double-the-share-in-2023/,complexity=3|region=global|subjects=general
study-49,Current AI Use and Perceptions in PK 12 & HigherEd,View of The Psychosocial Impacts of Generative AI Harms,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.aiforeducation.io/s/31251-Article-Text-35307-1-2-20240520-1.pdf,complexity=3|region=global|subjects=general
study-50,Workforce Trends,Workforce Trends,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",#,complexity=3|region=global|subjects=general
study-51,Current AI Use and Perceptions in PK 12 & HigherEd,The AI Proficiency Report,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.sectionschool.com/ai/the-ai-proficiency-report?utm_source=newsletter&utm_medium=neuron&utm_campaign=01282025&utm_term=ai-proficiency-report&utm_content=secondary&_bhlid=326448b35272affb505745ffe532f7e010f901f0,complexity=3|region=global|subjects=general
study-52,Current AI Use and Perceptions in PK 12 & HigherEd,The Future of Jobs Report,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.aiforeducation.io/s/WEF_Future_of_Jobs_Report_2025-1.pdf,complexity=3|region=global|subjects=general
study-53,Current AI Use and Perceptions in PK 12 & HigherEd,"Generative AI, the American Worker, and the Future of Work",Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.brookings.edu/articles/generative-ai-the-american-worker-and-the-future-of-work/,complexity=3|region=global|subjects=general
study-54,Current AI Use and Perceptions in PK 12 & HigherEd,Growing Up: Navigating GenAI’s Early Years,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://ai.wharton.upenn.edu/wp-content/uploads/2024/11/AI-Report_Full-Report.pdf,complexity=3|region=global|subjects=general
study-55,Current AI Use and Perceptions in PK 12 & HigherEd,Cengage Group Graduate Employability Report,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://cengage.widen.net/s/bmjxxjx9mm/cg-2024-employability-survey-report,complexity=3|region=global|subjects=general
study-56,Current AI Use and Perceptions in PK 12 & HigherEd,The State of AI in Early 2024: GenAI Adoption Spikes and Starts to Generate Value,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,complexity=3|region=global|subjects=general
study-57,Student Performance Data,Student Performance Data,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",#,complexity=3|region=global|subjects=general
study-58,Current AI Use and Perceptions in PK 12 & HigherEd,The Nation's Report Card,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.nationsreportcard.gov/,complexity=3|region=global|subjects=general
study-59,Current AI Use and Perceptions in PK 12 & HigherEd,What Do AI Chatbots Really Mean for Students and Cheating?,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.sciencedirect.com/science/article/pii/S2666920X24000560,complexity=3|region=global|subjects=general
study-60,Student Performance Data,PISA 2022 Results (Volume I) The State of Learning and Equity in Education,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.oecd.org/en/publications/pisa-2022-results-volume-i_53f23881-en.html,complexity=3|region=global|subjects=general
study-61,"Current State of Guidelines, Training, and Policies","Current State of Guidelines, Training, and Policies",Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",#,complexity=3|region=global|subjects=general
study-62,Current AI Use and Perceptions in PK 12 & HigherEd,Repository - Generative AI in Education Hub,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://scale.stanford.edu/genai/repository,complexity=3|region=global|subjects=general
study-63,"Current State of Guidelines, Training, and Policies",Generative AI: Product Safety Expectations,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.gov.uk/government/publications/generative-ai-product-safety-expectations/generative-ai-product-safety-expectations,complexity=3|region=global|subjects=general
study-64,Current AI Use and Perceptions in PK 12 & HigherEd,Fact Sheet: President Donald J. Trump Takes Action to Enhance America’s AI Leadership,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-takes-action-to-enhance-americas-ai-leadership/,complexity=3|region=global|subjects=general
study-65,Current AI Use and Perceptions in PK 12 & HigherEd,Lower Artificial Intelligence Literacy Predicts Greater AI Receptivity,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://osf.io/preprints/psyarxiv/t9u8g_v1,complexity=3|region=global|subjects=general
study-66,Current AI Use and Perceptions in PK 12 & HigherEd,"'We're at a Disadvantage,' and Other Teacher Sentiments on AI",Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.edweek.org/technology/were-at-a-disadvantage-and-other-teacher-sentiments-on-ai/2024/10?fbclid=IwZXh0bgNhZW0CMTAAAR1Rt9hwALBf3DUzSbjYDIVs1L-SmAc3YuyU28fkNytlTLNjpnfuoDo7Nbo_aem_D3BmmEbqThEuZtruHdaMTg,complexity=3|region=global|subjects=general
study-67,"Current State of Guidelines, Training, and Policies","Empowering Education Leaders: A Toolkit for Safe, Ethical, and Equitable AI Integration",Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.aiforeducation.io/s/Empowering-Education-Leaders-A-Toolkit-for-Safe-Ethical-and-Equitable-AI-Integration.pdf,complexity=3|region=global|subjects=general
study-68,Current AI Use and Perceptions in PK 12 & HigherEd,Generative AI in K–12 Education White Paper,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.commonsensemedia.org/sites/default/files/research/report/generative-ai-in-k-12-education-white-paper-updated-aug-2024-final-2.pdf,complexity=3|region=global|subjects=general
study-69,Current AI Use and Perceptions in PK 12 & HigherEd,Designing for Education with Artificial Intelligence: An Essential Guide for Developers,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.aiforeducation.io/s/EUA-Designing-for-Education-with-AI-An-Essential-Guide-for-Developers.pdf,complexity=3|region=global|subjects=general
study-70,Current AI Use and Perceptions in PK 12 & HigherEd,Artificial Intelligence Act: MEPs Adopt Landmark Law,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.europarl.europa.eu/news/en/press-room/20240308IPR19015/artificial-intelligence-act-meps-adopt-landmark-law,complexity=3|region=global|subjects=general
study-71,Current AI Use and Perceptions in PK 12 & HigherEd,Navigating Artificial Intelligence in Postsecondary Education: Building Capacity for the Road Ahead,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.aiforeducation.io/s/Navigating-Artificial-Intelligence-in-Postsecondary-Education.pdf,complexity=3|region=global|subjects=general
study-72,Current AI Use and Perceptions in PK 12 & HigherEd,National Educational Technology Plan,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.aiforeducation.io/s/GOVPUB-ED-PURL-gpo229250.pdf,complexity=3|region=global|subjects=general
study-73,Current AI Use and Perceptions in PK 12 & HigherEd,Guidance for generative AI in education and research,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://unesdoc.unesco.org/ark:/48223/pf0000386693.locale=en,complexity=3|region=global|subjects=general
study-74,Current AI Use and Perceptions in PK 12 & HigherEd,Australian Framework for Generative AI in Schools,Research Organization,2025-01,"Teachers Love AI, But They Need More Guidance From Schools",https://www.education.gov.au/schooling/resources/australian-framework-generative-artificial-intelligence-ai-schools,complexity=3|region=global|subjects=general
